timestamp,merchant,amount,city,state,pred_category,category
30-06-2019 23:58,"fraud_Ruecker, Beer and Collier",7.86,East Troy,WI,shopping_net,shopping_net
30-06-2019 23:59,"fraud_Bahringer, Bergnaum and Quitzon",108.99,Delhi,LA,home,home
30-06-2019 23:59,"fraud_Baumbach, Feeney and Morar",890.66,Cromona,KY,shopping_net,shopping_net
30-06-2019 23:59,fraud_Barton LLC,30.87,Mc Nabb,IL,kids_pets,kids_pets
01-07-2019 00:00,fraud_Dibbert and Sons,4.3,Harmony,PA,entertainment,entertainment
01-07-2019 00:00,fraud_Sporer Inc,60.61,Harrodsburg,IN,gas_transport,gas_transport
01-07-2019 00:00,fraud_Balistreri-Nader,34.48,Smock,PA,misc_pos,misc_pos
01-07-2019 00:00,"fraud_Robel, Cummerata and Prosacco",61.82,Nobleboro,ME,gas_transport,gas_transport
01-07-2019 00:00,fraud_Kling-Ernser,3.29,North Judson,IN,entertainment,entertainment
01-07-2019 00:01,fraud_Dickinson-Rempel,40.45,Tuscarora,MD,misc_pos,misc_pos
01-07-2019 00:01,fraud_Friesen-Stamm,51.25,Campbell,NE,gas_transport,gas_transport
01-07-2019 00:01,fraud_Cummings LLC,72.47,Skytop,PA,gas_transport,gas_transport
01-07-2019 00:01,fraud_DuBuque LLC,76.67,Karnack,TX,grocery_pos,grocery_pos
01-07-2019 00:02,fraud_Dickinson Ltd,6.22,Wilton,ND,misc_pos,misc_pos
01-07-2019 00:02,fraud_Rowe-Vandervort,46.77,Roma,TX,grocery_net,grocery_net
01-07-2019 00:03,"fraud_Connelly, Reichert and Fritsch",57.32,Rule,TX,gas_transport,gas_transport
01-07-2019 00:04,fraud_Kuhn Group,52.98,Winslow,AR,misc_net,food_dining
01-07-2019 00:05,"fraud_Schaefer, McGlynn and Bosco",80.08,Mesa,ID,gas_transport,gas_transport
01-07-2019 00:05,fraud_Pacocha-Bauch,139.12,Bridger,MT,shopping_pos,shopping_pos
01-07-2019 00:06,"fraud_Streich, Dietrich and Barton",102.16,Harper,TX,shopping_net,shopping_net
01-07-2019 00:07,fraud_Cummerata-Jones,56.14,Riverton,WY,gas_transport,gas_transport
01-07-2019 00:07,fraud_Kling Inc,51.97,Pembroke Township,IL,gas_transport,gas_transport
01-07-2019 00:07,fraud_Mraz-Herzog,45.48,Tallmansville,WV,gas_transport,gas_transport
01-07-2019 00:08,fraud_Bernhard Inc,43.88,Pembroke Township,IL,gas_transport,gas_transport
01-07-2019 00:09,fraud_Cummings LLC,55.16,Westport,KY,gas_transport,gas_transport
01-07-2019 00:10,"fraud_Lehner, Mosciski and King",594.19,Hudson,KS,misc_net,misc_net
01-07-2019 00:11,fraud_Ledner-Pfannerstill,80.5,Valentine,NE,gas_transport,gas_transport
01-07-2019 00:12,fraud_Beier LLC,6.62,New Waverly,TX,entertainment,entertainment
01-07-2019 00:12,"fraud_Lind, Huel and McClure",52.4,Lawrence,MA,gas_transport,gas_transport
01-07-2019 00:12,fraud_Brekke and Sons,55.41,Center Point,WV,gas_transport,gas_transport
01-07-2019 00:12,fraud_Bernhard Inc,67.33,Avoca,IA,gas_transport,gas_transport
01-07-2019 00:13,fraud_Koepp-Parker,95.66,Heart Butte,MT,grocery_pos,grocery_pos
01-07-2019 00:13,fraud_Cummings LLC,36.55,Naples,FL,gas_transport,gas_transport
01-07-2019 00:14,"fraud_Bernier, Volkman and Hoeger",4.01,North Haverhill,NH,misc_net,misc_net
01-07-2019 00:15,fraud_Deckow-O'Conner,179.3,Baroda,MI,grocery_pos,grocery_pos
01-07-2019 00:15,"fraud_Schroeder, Hauck and Treutel",98.23,Greenwich,NJ,entertainment,entertainment
01-07-2019 00:15,fraud_Cummerata-Jones,66.78,Oxford,MI,gas_transport,gas_transport
01-07-2019 00:15,"fraud_Heathcote, Yost and Kertzmann",78.73,Bristow,IN,shopping_net,shopping_net
01-07-2019 00:15,fraud_Gerlach Inc,2.57,Roseland,NE,shopping_net,shopping_net
01-07-2019 00:16,"fraud_Reichert, Huels and Hoppe",6.66,Garrattsville,NY,shopping_net,shopping_net
01-07-2019 00:16,fraud_Thiel PLC,330.74,Watertown,MN,misc_pos,misc_pos
01-07-2019 00:16,fraud_Hermann-Gaylord,24.84,Coleman,TX,misc_pos,misc_pos
01-07-2019 00:16,"fraud_Daugherty, Pouros and Beahan",9.46,Burke,VA,shopping_pos,shopping_pos
01-07-2019 00:17,"fraud_Connelly, Reichert and Fritsch",83.69,Birmingham,IA,gas_transport,gas_transport
01-07-2019 00:18,fraud_Ankunding LLC,449.53,Andrews,IN,shopping_net,shopping_net
01-07-2019 00:18,fraud_Klocko LLC,8.31,Saint Francis,KY,misc_net,misc_net
01-07-2019 00:19,"fraud_Huel, Hammes and Witting",53.65,Glendale,CA,grocery_pos,grocery_pos
01-07-2019 00:19,"fraud_Reichert, Shanahan and Hayes",288.76,Ashford,WA,shopping_net,shopping_net
01-07-2019 00:19,fraud_Grimes LLC,41.1,Paulding,OH,entertainment,entertainment
01-07-2019 00:19,fraud_Berge LLC,73.2,Dunlevy,PA,gas_transport,gas_transport
01-07-2019 00:20,fraud_Roob LLC,94.15,Belgrade,MT,grocery_net,grocery_net
01-07-2019 00:20,"fraud_Greenholt, Jacobi and Gleason",47.26,Shenandoah Junction,WV,gas_transport,gas_transport
01-07-2019 00:20,fraud_Kilback LLC,134.79,Uledi,PA,grocery_pos,grocery_pos
01-07-2019 00:20,fraud_Cartwright-Harris,174.22,Tupper Lake,NY,grocery_pos,grocery_pos
01-07-2019 00:20,"fraud_Connelly, Reichert and Fritsch",100.63,Topeka,KS,gas_transport,gas_transport
01-07-2019 00:22,fraud_Hackett-Lueilwitz,115.95,Prairie Hill,TX,grocery_pos,grocery_pos
01-07-2019 00:23,fraud_Jast and Sons,48.12,Farmington,NY,food_dining,food_dining
01-07-2019 00:23,fraud_Cummerata-Jones,58.53,Cleveland,TX,gas_transport,gas_transport
01-07-2019 00:24,"fraud_Goldner, Kovacek and Abbott",194.52,Indianapolis,IN,grocery_pos,grocery_pos
01-07-2019 00:24,fraud_Fisher-Schowalter,22.02,Barnstable,MA,shopping_net,shopping_net
01-07-2019 00:25,fraud_Heller-Abshire,90.52,Walnut Ridge,AR,grocery_net,grocery_net
01-07-2019 00:25,"fraud_Osinski, Ledner and Leuschke",108.53,Palmyra,NY,grocery_pos,grocery_pos
01-07-2019 00:25,fraud_Cummings LLC,52.41,Heiskell,TN,gas_transport,gas_transport
01-07-2019 00:26,"fraud_Towne, Greenholt and Koepp",97.72,Elkhart,IA,shopping_net,shopping_net
01-07-2019 00:26,fraud_Pfeffer and Sons,363.15,Fulton,SD,grocery_net,shopping_pos
01-07-2019 00:26,fraud_DuBuque LLC,159.76,Tupper Lake,NY,grocery_pos,grocery_pos
01-07-2019 00:27,fraud_Bins-Rice,70.66,Beaverdam,OH,gas_transport,gas_transport
01-07-2019 00:28,"fraud_Bernier, Streich and Jewess",48.91,Burlington,WA,grocery_net,grocery_net
01-07-2019 00:29,"fraud_Baumbach, Hodkiewicz and Walsh",5.32,Montrose,NY,shopping_pos,shopping_pos
01-07-2019 00:30,fraud_Corwin-Collins,84.19,Indianapolis,IN,gas_transport,gas_transport
01-07-2019 00:30,fraud_Williamson LLC,1.58,Corriganville,MD,misc_pos,misc_pos
01-07-2019 00:30,fraud_Schmeler Inc,5.74,Randolph,OH,misc_pos,misc_pos
01-07-2019 00:30,fraud_Huels-Hahn,91.52,Alpharetta,GA,gas_transport,gas_transport
01-07-2019 00:30,fraud_Murray-Smitham,78.85,Washington Court House,OH,grocery_pos,grocery_pos
